id,lines_lengthKm,nodes_count,peak_loadKw,solar_capacity,dist_farthest_node,wind_capacity,consumption,consumption_per_area,zensus,lon,lat,pkw_count,areaSqKm
2796,301.0147283028773,94.0,13061.126433493879,11111.669999999998,18.673489227564186,26650.0,83.5455085218786,9208.307051714724,13508.0,11.886859694734301,51.43466649225449,15709,91.50733309046421
2797,204.7252136993181,72.0,6915.873199592328,7727.269999999999,19.27219138605944,3000.0,32.6153210931773,2809.5151335157398,8126.0,11.123928129579301,51.107535012080405,4776,373.30028979473013
2798,225.6559593104976,65.0,15385.176320971641,3001.910000000001,22.0439259361442,28000.0,98.91878755078008,5902.251992755257,10196.0,11.2038210569769,51.187415269281395,8065,348.3730439754905
2799,260.00114117216134,71.0,8868.067804809232,5676.973000000003,20.68877424082762,19200.0,52.4464184935715,4213.663839132321,9021.0,10.990276247375698,51.187257012002895,4880,263.4998529896812
2800,99.62660872599771,46.0,10086.610560976058,5326.730000000001,11.712921332951119,2800.0,68.3507999498672,32888.98593465793,8024.0,11.9852011754264,51.3014748342051,4107,54.653745285666
2801,608.3488960580122,218.0,34545.991238857205,18133.85500000001,28.2017031515116,24455.0,207.17340000822895,8881.318146213987,39295.0,11.830252534384199,51.1445634560491,35013,353.9852998016765
2802,498.2443281483332,139.0,25037.981147661998,49341.14000000001,28.048696604489574,12300.0,141.639464946933,4921.189973487596,34340.0,11.296002750586,51.4475576149689,30137,395.4997182121293
2803,157.83319210373483,62.0,20330.764491686565,4969.990000000002,14.198449460459562,1100.0,144.408060089134,17751.794578495672,6361.0,11.6552946928842,51.2750615526037,6111,343.66756330459475
2804,476.58216056896316,176.0,13293.937575903523,11003.260000000002,32.464418118634505,21783.32,79.6618689741302,3308.448411731596,17893.0,11.6085944083689,51.298484849812695,9042,507.88207027601777
2805,594.0352939913907,169.0,19245.012353720853,37446.245,23.01399725412773,20600.0,106.12070755313101,5914.4564764925135,19536.0,11.3136624469517,51.3593828323133,5403,202.556694943995
2807,227.6214161559345,85.0,14312.70352390204,5430.779999999999,16.488834313438584,0.0,63.14874789801189,11500.1678981339,9176.0,12.086173723511601,51.4912256255786,5637,51.27323826722571
2809,216.34958443507077,85.0,8119.685129705474,856.29,39.27513005226985,0.0,51.4066421132279,3110.4219184305516,8681.0,11.1561628995999,51.642770882218294,1641,252.112593315415
2810,365.4022438451692,139.0,34644.738555882795,43900.4,30.37764009997527,21502.7,195.13788635215198,14313.055637131165,43990.0,11.9438746653121,51.5251544449786,7533,256.2837963142762
2812,120.72945340474291,62.0,7082.07514877268,2080.169999999999,12.302572895323653,0.0,41.9776878811264,11570.203591157482,12058.0,12.0672285821754,51.31081647266561,15862,36.113664316397795
2813,174.20093733838291,59.0,4362.163787581747,1004.0400000000003,12.427331772517023,0.0,25.2360132405452,4219.714132667353,8255.0,12.0833421772697,51.832337445488605,4167,54.65091191345589
2814,304.07189156683046,97.0,29554.159492857314,35535.345,15.948791901599266,26300.0,174.86630282982497,15411.997421480948,40243.0,11.9674560621264,51.221535436353996,11977,102.81038812359199
2815,113.6096219075923,25.0,12242.94306596902,7801.99,8.619952819070766,0.0,83.9788718801901,16749.556487344664,8946.0,11.869934596209099,51.2867559746117,4744,62.7880860703195
2816,155.53029367397158,74.0,6729.106132081303,2703.11,16.99792883677938,6900.0,41.597136877459,4216.523648757245,9262.0,11.8028138395219,51.2912768318457,8512,453.95276684557155
2817,388.4921980583609,158.0,19812.086438337778,10369.884999999998,26.135628031907963,0.0,115.418341290649,6681.412834897692,19559.0,12.019794968142099,51.18244759730829,11176,75.91122142970299
